state,expense_category,mean_proportion_govt_grant,median_proportion_govt_grant,median_govt_grant,mean_govt_grant,number_nonprofits
AK,Between $100K and $499K,0.07,0,0,20005.56,74
AK,Between $1M and $4.99M,0.17,0.07,216246,422311.14,7
AK,Between $500K and $999K,0.34,0.21,136859,365883.81,16
AK,Between $5M and $9.99M,0,0,0,0,1
AK,Less than $100K,0.01,0,0,362,200
AL,Between $100K and $499K,0.14,0,0,39058.95,290
AL,Between $1M and $4.99M,0.09,0,0,209746.97,60
AL,Between $500K and $999K,0.11,0,0,80801.93,102
AL,Between $5M and $9.99M,0.04,0,0,30993.8,5
AL,Greater than $10M,0.14,0,0,2814739.2,10
AL,Less than $100K,0.02,0,0,2255.17,906
AR,Between $100K and $499K,0.12,0,0,36019.9,166
AR,Between $1M and $4.99M,0.13,0,0,319260,33
AR,Between $500K and $999K,0.16,0,0,110626.56,34
AR,Between $5M and $9.99M,0,0,0,0,1
AR,Greater than $10M,0,0,0,37659.33,3
AR,Less than $100K,0.01,0,0,939.92,521
AZ,Between $100K and $499K,0.04,0,0,15785.11,298
AZ,Between $1M and $4.99M,0.06,0,0,177906.12,66
AZ,Between $500K and $999K,0.09,0,0,55062.07,81
AZ,Between $5M and $9.99M,0.22,0,0,1683368.5,8
AZ,Greater than $10M,0.07,0,0,2355967.43,7
AZ,Less than $100K,0,0,0,3627.04,1020
CA,Between $100K and $499K,0.05,0,0,14837.83,2095
CA,Between $1M and $4.99M,0.08,0,0,226517.43,477
CA,Between $500K and $999K,0.07,0,0,50602.65,563
CA,Between $5M and $9.99M,0.04,0,0,269648.69,52
CA,Greater than $10M,0.07,0,0,1260941.91,46
CA,Less than $100K,0,0,0,279.22,6834
CO,Between $100K and $499K,0.07,0,0,20486.54,589
CO,Between $1M and $4.99M,0.11,0,0,229019.37,164
CO,Between $500K and $999K,0.09,0,0,62782.14,177
CO,Between $5M and $9.99M,0.16,0.03,200792.5,1236408.59,22
CO,Greater than $10M,0.12,0,0,3354375.08,13
CO,Less than $100K,0.01,0,0,701.23,1537
CT,Between $100K and $499K,0.05,0,0,14470.7,291
CT,Between $1M and $4.99M,0.06,0,0,120147.53,59
CT,Between $500K and $999K,0.01,0,0,9447.27,67
CT,Between $5M and $9.99M,0.04,0,0,278804.67,12
CT,Greater than $10M,0.15,0,0,3697064.11,9
CT,Less than $100K,0.01,0,0,2435.6,841
DC,Between $100K and $499K,0.07,0,0,21607.79,175
DC,Between $1M and $4.99M,0.06,0,0,126686.88,78
DC,Between $500K and $999K,0.09,0,0,59016.21,75
DC,Between $5M and $9.99M,0.03,0,0,251307.13,23
DC,Greater than $10M,0.17,0,0,5066796.77,30
DC,Less than $100K,0.01,0,0,328.41,342
DE,Between $100K and $499K,0.09,0,0,44146.69,104
DE,Between $1M and $4.99M,0.27,0.08,155296.5,620052.72,32
DE,Between $500K and $999K,0.21,0.03,19450,218342.17,18
DE,Between $5M and $9.99M,0.08,0.09,683891,723695.5,4
DE,Greater than $10M,0,0,0,0,2
DE,Less than $100K,0.02,0,0,4702.12,245
FL,Between $100K and $499K,0.05,0,0,15514.12,1164
FL,Between $1M and $4.99M,0.08,0,0,165583.51,245
FL,Between $500K and $999K,0.1,0,0,75542.91,286
FL,Between $5M and $9.99M,0.11,0,0,748753.13,31
FL,Greater than $10M,0.09,0,0,3167466.8,25
FL,Less than $100K,0,0,0,592.71,3923
GA,Between $100K and $499K,0.05,0,0,14259.73,629
GA,Between $1M and $4.99M,0.09,0,0,186688.73,95
GA,Between $500K and $999K,0.11,0,0,83900.77,134
GA,Between $5M and $9.99M,0.09,0,0,894380.6,10
GA,Greater than $10M,0.06,0,0,1341645.56,39
GA,Less than $100K,0,0,0,709.07,2054
HI,Between $100K and $499K,0.07,0,0,30170.73,79
HI,Between $1M and $4.99M,0.03,0,0,36354.59,17
HI,Between $500K and $999K,0.16,0,0,123547.73,15
HI,Between $5M and $9.99M,0.05,0.05,455570,455570,2
HI,Less than $100K,0.02,0,0,13053.48,308
IA,Between $100K and $499K,0.07,0,0,23781.3,369
IA,Between $1M and $4.99M,0.07,0,0,198428.36,74
IA,Between $500K and $999K,0.07,0,0,59652,83
IA,Between $5M and $9.99M,0.01,0,0,80563.75,4
IA,Greater than $10M,0.02,0,0,243282.4,15
IA,Less than $100K,0.01,0,0,1529.53,1019
ID,Between $100K and $499K,0.06,0,0,17016.1,143
ID,Between $1M and $4.99M,0.09,0,0,221864.48,21
ID,Between $500K and $999K,0.13,0,0,102130.09,34
ID,Between $5M and $9.99M,0.33,0.43,2256525,2386381.67,3
ID,Greater than $10M,0.07,0,0,1679484.67,6
ID,Less than $100K,0,0,0,375.41,400
IL,Between $100K and $499K,0.05,0,0,13410.52,840
IL,Between $1M and $4.99M,0.05,0,0,96560.21,225
IL,Between $500K and $999K,0.05,0,0,35283.14,209
IL,Between $5M and $9.99M,0.01,0,0,49336.35,31
IL,Greater than $10M,0.01,0,0,345046.54,48
IL,Less than $100K,0.01,0,0,516.39,2956
IN,Between $100K and $499K,0.09,0,0,30228.53,626
IN,Between $1M and $4.99M,0.07,0,0,170049.28,166
IN,Between $500K and $999K,0.12,0,0,93510.52,157
IN,Between $5M and $9.99M,0.06,0,0,364730.56,25
IN,Greater than $10M,0.02,0,0,565143.08,25
IN,Less than $100K,0.01,0,0,1294.24,1587
KS,Between $100K and $499K,0.1,0,0,32623.39,280
KS,Between $1M and $4.99M,0.15,0,0,307574.19,63
KS,Between $500K and $999K,0.1,0,0,72970.57,68
KS,Between $5M and $9.99M,0.01,0,0,96093.29,7
KS,Greater than $10M,0.12,0,0,1939617.5,16
KS,Less than $100K,0.01,0,0,1520.12,738
KY,Between $100K and $499K,0.08,0,0,26957.37,290
KY,Between $1M and $4.99M,0.04,0,0,82337.28,61
KY,Between $500K and $999K,0.07,0,0,53649.21,76
KY,Between $5M and $9.99M,0.27,0,0,1551201.86,7
KY,Greater than $10M,0.04,0,0,1489708.04,23
KY,Less than $100K,0.01,0,0,740.23,739
LA,Between $100K and $499K,0.08,0,0,21035.98,257
LA,Between $1M and $4.99M,0.17,0,0,314165.41,41
LA,Between $500K and $999K,0.11,0,0,100805.9,78
LA,Between $5M and $9.99M,0,0,0,0,6
LA,Greater than $10M,0,0,0,0,3
LA,Less than $100K,0.01,0,0,1115.48,714
MA,Between $100K and $499K,0.04,0,0,11310.08,449
MA,Between $1M and $4.99M,0.07,0,0,183263.63,121
MA,Between $500K and $999K,0.07,0,0,53076.87,112
MA,Between $5M and $9.99M,0.07,0,0,503600.14,21
MA,Greater than $10M,0.02,0,0,1015505.6,20
MA,Less than $100K,0,0,0,202.74,2261
MD,Between $100K and $499K,0.11,0,0,30475.38,458
MD,Between $1M and $4.99M,0.07,0,0,208139.33,83
MD,Between $500K and $999K,0.11,0,0,74733.92,103
MD,Between $5M and $9.99M,0.17,0,0,1073113.54,13
MD,Greater than $10M,0.05,0,4613.5,1923909.19,16
MD,Less than $100K,0.01,0,0,757.13,1453
ME,Between $100K and $499K,0.09,0,0,18059.07,159
ME,Between $1M and $4.99M,0.09,0,0,146517.65,31
ME,Between $500K and $999K,0.07,0,0,52887.27,41
ME,Between $5M and $9.99M,0,0,0,0,1
ME,Greater than $10M,0.09,0.06,835674,2542080,3
ME,Less than $100K,0,0,0,961.43,385
MI,Between $100K and $499K,0.06,0,0,17660.6,693
MI,Between $1M and $4.99M,0.09,0,0,224452.22,201
MI,Between $500K and $999K,0.09,0,0,69726.26,172
MI,Between $5M and $9.99M,0.05,0,0,418709.68,34
MI,Greater than $10M,0.11,0,0,2822823.62,34
MI,Less than $100K,0.01,0,0,349.21,2013
MN,Between $100K and $499K,0.1,0,0,26285.49,577
MN,Between $1M and $4.99M,0.1,0,0,224673.69,135
MN,Between $500K and $999K,0.08,0,0,61245,135
MN,Between $5M and $9.99M,0.15,0,0,755493.69,29
MN,Greater than $10M,0.11,0,0,1791849.21,28
MN,Less than $100K,0.01,0,0,994.72,1436
MO,Between $100K and $499K,0.08,0,0,21457.97,513
MO,Between $1M and $4.99M,0.12,0,0,383479.76,89
MO,Between $500K and $999K,0.07,0,0,46544.55,122
MO,Between $5M and $9.99M,0.08,0,0,1925487.14,14
MO,Greater than $10M,0.08,0,0,2695709.17,12
MO,Less than $100K,-0.01,0,0,1847.94,1326
MS,Between $100K and $499K,0.07,0,0,19140.57,213
MS,Between $1M and $4.99M,0.18,0,0,390584.63,38
MS,Between $500K and $999K,0.11,0,0,105051.51,49
MS,Between $5M and $9.99M,0.25,0.34,2112863,2033379.8,5
MS,Greater than $10M,0.02,0,0,426290,6
MS,Less than $100K,0.01,0,0,1146.82,514
MT,Between $100K and $499K,0.05,0,0,14605.99,149
MT,Between $1M and $4.99M,0.08,0,0,221682.03,33
MT,Between $500K and $999K,0.15,0,0,88689.11,27
MT,Between $5M and $9.99M,0.01,0,0,81187.83,6
MT,Greater than $10M,0,0,0,0,6
MT,Less than $100K,0.01,0,0,2975.71,375
NC,Between $100K and $499K,0.1,0,0,34258.15,772
NC,Between $1M and $4.99M,0.07,0,0,185515.94,135
NC,Between $500K and $999K,0.11,0,0,77637.44,176
NC,Between $5M and $9.99M,0.06,0,0,699976.71,21
NC,Greater than $10M,0.04,0,0,884846.34,32
NC,Less than $100K,0.01,0,0,2321.39,1845
ND,Between $100K and $499K,0.09,0,0,24621.35,119
ND,Between $1M and $4.99M,0.07,0,0,172825.35,17
ND,Between $500K and $999K,0.11,0,0,84837.12,34
ND,Between $5M and $9.99M,0.01,0.01,704729,704729,2
ND,Greater than $10M,0.02,0,0,316693.5,8
ND,Less than $100K,0.01,0,0,1719.72,241
NE,Between $100K and $499K,0.06,0,0,17087.51,207
NE,Between $1M and $4.99M,0.07,0,0,176933.65,55
NE,Between $500K and $999K,0.05,0,0,40548.08,60
NE,Between $5M and $9.99M,0,0,0,0,3
NE,Greater than $10M,0.11,0,0,1264158.67,6
NE,Less than $100K,0.01,0,0,485.72,567
NH,Between $100K and $499K,0.06,0,0,18558.63,162
NH,Between $1M and $4.99M,0.12,0.07,126621,381102.65,20
NH,Between $500K and $999K,0.1,0,0,59726.36,36
NH,Between $5M and $9.99M,0.19,0,0,1211311,4
NH,Greater than $10M,0,0,0,0,2
NH,Less than $100K,0,0,0,277.63,469
NJ,Between $100K and $499K,0.08,0,0,20299.1,617
NJ,Between $1M and $4.99M,0.14,0,0,351417.98,133
NJ,Between $500K and $999K,0.08,0,0,70289.64,134
NJ,Between $5M and $9.99M,0.16,0,0,1314954.88,24
NJ,Greater than $10M,0.15,0.03,365261,2396449.39,18
NJ,Less than $100K,0.01,0,0,765.15,2383
NM,Between $100K and $499K,0.11,0,0,34451.93,158
NM,Between $1M and $4.99M,0.05,0,0,193549.26,27
NM,Between $500K and $999K,0.18,0,0,125010.48,27
NM,Between $5M and $9.99M,0.01,0.01,86865,86865,1
NM,Greater than $10M,0.04,0,0,1241304.67,3
NM,Less than $100K,0.01,0,0,631.96,376
NV,Between $100K and $499K,0.07,0,0,25023.55,140
NV,Between $1M and $4.99M,0.08,0,0,181918.3,27
NV,Between $500K and $999K,0.13,0,0,268660.81,31
NV,Between $5M and $9.99M,0,0,0,0,2
NV,Greater than $10M,0.1,0.1,956307.5,956307.5,2
NV,Less than $100K,0,0,0,583.23,413
NY,Between $100K and $499K,0.11,0,0,27834.12,1386
NY,Between $1M and $4.99M,0.14,0,0,344906.89,362
NY,Between $500K and $999K,0.12,0,0,93802.6,310
NY,Between $5M and $9.99M,0.19,0,0,1434925.09,69
NY,Greater than $10M,0.16,0,0,4137733,51
NY,Less than $100K,0.01,0,0,1012.42,5062
OH,Between $100K and $499K,0.06,0,0,19602.06,967
OH,Between $1M and $4.99M,0.1,0,0,238729.59,179
OH,Between $500K and $999K,0.12,0,0,105821.49,225
OH,Between $5M and $9.99M,0.11,0,0,678342.09,22
OH,Greater than $10M,0.04,0,0,1890184.18,28
OH,Less than $100K,0.01,0,0,1737.97,2638
OK,Between $100K and $499K,0.03,0,0,8713.95,250
OK,Between $1M and $4.99M,0.04,0,0,44443.17,41
OK,Between $500K and $999K,0.09,0,0,59185.28,57
OK,Between $5M and $9.99M,0,0,0,0,4
OK,Greater than $10M,0.13,0,0,2821995.71,7
OK,Less than $100K,0.02,0,0,1245.82,665
OR,Between $100K and $499K,0.08,0,0,27196.32,370
OR,Between $1M and $4.99M,0.13,0,0,253503.13,63
OR,Between $500K and $999K,0.12,0,0,143368.84,95
OR,Between $5M and $9.99M,0.18,0.07,575109,1322693.77,13
OR,Greater than $10M,0.04,0,0,939034.12,8
OR,Less than $100K,0.01,0,0,1708.48,1124
PA,Between $100K and $499K,0.12,0,0,36504.32,1133
PA,Between $1M and $4.99M,0.08,0,0,187738.91,212
PA,Between $500K and $999K,0.14,0,0,101350.35,237
PA,Between $5M and $9.99M,0.11,0,31250,922727,20
PA,Greater than $10M,0.17,0,0,5712442.62,32
PA,Less than $100K,0,0,0,2770.75,3001
RI,Between $100K and $499K,0.05,0,0,16248.98,108
RI,Between $1M and $4.99M,0.05,0,0,83772.22,24
RI,Between $500K and $999K,0.01,0,0,8334.24,21
RI,Between $5M and $9.99M,0.01,0,0,49282.71,7
RI,Greater than $10M,0.18,0,0,7071351.25,4
RI,Less than $100K,0,0,0,266.5,288
SC,Between $100K and $499K,0.08,0,0,31269.13,328
SC,Between $1M and $4.99M,0.07,0,0,177126.51,79
SC,Between $500K and $999K,0.08,0,0,62802.57,100
SC,Between $5M and $9.99M,0.15,0.01,53395,1044840.2,10
SC,Greater than $10M,0.04,0,0,714456.05,18
SC,Less than $100K,0.01,0,0,2483.26,1140
SD,Between $100K and $499K,0.18,0,0,50750.26,117
SD,Between $1M and $4.99M,0.08,0,0,163031.9,30
SD,Between $500K and $999K,0.16,0,0,181039.22,18
SD,Between $5M and $9.99M,0.13,0.13,1373571.5,1373571.5,2
SD,Greater than $10M,0,0,0,0,5
SD,Less than $100K,0.02,0,0,1927.71,303
TN,Between $100K and $499K,0.08,0,0,26226.66,602
TN,Between $1M and $4.99M,0.12,0,0,261549.85,124
TN,Between $500K and $999K,0.1,0,0,76819.94,124
TN,Between $5M and $9.99M,0.15,0,0,1148995.69,16
TN,Greater than $10M,0.13,0,0,2260188.64,22
TN,Less than $100K,0.01,0,0,1076.72,1404
TX,Between $100K and $499K,0.05,0,0,16540.28,1476
TX,Between $1M and $4.99M,0.06,0,0,102323.18,334
TX,Between $500K and $999K,0.03,0,0,18926.53,508
TX,Between $5M and $9.99M,0.08,0,0,492931.15,46
TX,Greater than $10M,0.09,0,0,3636440.32,37
TX,Less than $100K,0,0,0,515.14,4402
UT,Between $100K and $499K,0.07,0,0,22305.89,184
UT,Between $1M and $4.99M,0.03,0,0,104160.67,46
UT,Between $500K and $999K,0.08,0,0,70032.29,41
UT,Between $5M and $9.99M,0.1,0,0,768952.62,8
UT,Greater than $10M,0.05,0,0,1013412.12,8
UT,Less than $100K,0,0,0,232.72,472
VA,Between $100K and $499K,0.09,0,0,27274.92,630
VA,Between $1M and $4.99M,0.06,0,0,138289.7,150
VA,Between $500K and $999K,0.06,0,0,41344.15,173
VA,Between $5M and $9.99M,0.03,0,0,218190.23,22
VA,Greater than $10M,0.05,0,0,1175090.35,34
VA,Less than $100K,0.01,0,0,1018.04,1840
VT,Between $100K and $499K,0.09,0,0,24108.61,105
VT,Between $1M and $4.99M,0.09,0,0,166638.68,22
VT,Between $500K and $999K,0.06,0,0,58174.45,19
VT,Between $5M and $9.99M,0.02,0.02,108410.5,108410.5,2
VT,Greater than $10M,0.01,0.01,1200000,1200000,1
VT,Less than $100K,0.03,0,0,3250.31,269
WA,Between $100K and $499K,0.09,0,0,25706.7,580
WA,Between $1M and $4.99M,0.12,0,0,264291.63,108
WA,Between $500K and $999K,0.1,0,0,103224.06,155
WA,Between $5M and $9.99M,0.12,0,0,1042553.33,12
WA,Greater than $10M,0.06,0,0,910851.75,20
WA,Less than $100K,0.01,0,0,696.55,1501
WI,Between $100K and $499K,0.07,0,0,21014.65,492
WI,Between $1M and $4.99M,0.08,0,0,184519.38,122
WI,Between $500K and $999K,0.08,0,0,53810.5,113
WI,Between $5M and $9.99M,0.16,0,0,1155431.39,18
WI,Greater than $10M,0.05,0,0,1102192.04,27
WI,Less than $100K,0.01,0,0,1380.8,1531
WV,Between $100K and $499K,0.17,0,0,45554.89,172
WV,Between $1M and $4.99M,0.07,0,0,251147.14,28
WV,Between $500K and $999K,0.1,0,0,65937.08,35
WV,Between $5M and $9.99M,0,0,0,0,1
WV,Greater than $10M,0.02,0,0,227670.14,7
WV,Less than $100K,0.05,0,0,5090.63,464
WY,Between $100K and $499K,0.07,0,0,19312.21,79
WY,Between $1M and $4.99M,0.05,0,9260,93911.71,7
WY,Between $500K and $999K,0.06,0,0,46928.67,21
WY,Greater than $10M,0,0,0,0,1
WY,Less than $100K,0.01,0,0,313.16,154
